     processes  threads  seq_length   patterns  mean_pat_length  time_std    speedup
90         4.0      2.0     32768.0     1024.0           1024.0  0.001829   7.007818
96         4.0      2.0     32768.0     1024.0           4096.0  0.001330   6.631782
73         4.0      4.0     32768.0     1024.0             16.0  0.000321  10.659070
79         4.0      4.0     32768.0     1024.0             64.0  0.000224  12.314914
85         4.0      4.0     32768.0     1024.0            256.0  0.000183  12.152741
91         4.0      4.0     32768.0     1024.0           1024.0  0.000940  11.346490
97         4.0      4.0     32768.0     1024.0           4096.0  0.000350  10.743699
74         4.0      8.0     32768.0     1024.0             16.0  0.000877  12.523906
80         4.0      8.0     32768.0     1024.0             64.0  0.000515  14.059047
86         4.0      8.0     32768.0     1024.0            256.0  0.001360  15.659432
92         4.0      8.0     32768.0     1024.0           1024.0  0.000745  17.522833
98         4.0      8.0     32768.0     1024.0           4096.0  0.000683  13.453837
75         8.0      2.0     32768.0     1024.0             16.0  0.000973  10.269677
81         8.0      2.0     32768.0     1024.0             64.0  0.000723  12.897303
87         8.0      2.0     32768.0     1024.0            256.0  0.000553  12.546462
93         8.0      2.0     32768.0     1024.0           1024.0  0.000769  11.384887
99         8.0      2.0     32768.0     1024.0           4096.0  0.001244  10.650488
76         8.0      4.0     32768.0     1024.0             16.0  0.000123  15.277057
82         8.0      4.0     32768.0     1024.0             64.0  0.000270  18.711731
88         8.0      4.0     32768.0     1024.0            256.0  0.000990  17.286356
94         8.0      4.0     32768.0     1024.0           1024.0  0.000140  18.507146
100        8.0      4.0     32768.0     1024.0           4096.0  0.000041  17.185097
77         8.0      8.0     32768.0     1024.0             16.0  0.019517   0.521528
83         8.0      8.0     32768.0     1024.0             64.0  0.043138   0.722399
89         8.0      8.0     32768.0     1024.0            256.0  0.022840   0.708626
95         8.0      8.0     32768.0     1024.0           1024.0  0.074883   0.835728
101        8.0      8.0     32768.0     1024.0           4096.0  0.125744   1.151346
102        4.0      2.0     32768.0    32768.0             16.0  0.006747   7.965273
108        4.0      2.0     32768.0    32768.0             64.0  0.039594   8.412821
114        4.0      2.0     32768.0    32768.0            256.0  0.018963   8.580995
120        4.0      2.0     32768.0    32768.0           1024.0  0.012748   8.380089
126        4.0      2.0     32768.0    32768.0           4096.0  0.014825   7.468222
103        4.0      4.0     32768.0    32768.0             16.0  0.005985  15.512998
109        4.0      4.0     32768.0    32768.0             64.0  0.014852  16.479810
115        4.0      4.0     32768.0    32768.0            256.0  0.018579  16.388753
121        4.0      4.0     32768.0    32768.0           1024.0  0.015231  16.135866
127        4.0      4.0     32768.0    32768.0           4096.0  0.008371  14.693462
104        4.0      8.0     32768.0    32768.0             16.0  0.012432  23.757234
110        4.0      8.0     32768.0    32768.0             64.0  0.003750  29.311560
116        4.0      8.0     32768.0    32768.0            256.0  0.005896  29.810294
122        4.0      8.0     32768.0    32768.0           1024.0  0.005915  29.619678
128        4.0      8.0     32768.0    32768.0           4096.0  0.008130  24.275148
105        8.0      2.0     32768.0    32768.0             16.0  0.013562  14.552420
111        8.0      2.0     32768.0    32768.0             64.0  0.010024  16.714790
117        8.0      2.0     32768.0    32768.0            256.0  0.014858  16.160849
123        8.0      2.0     32768.0    32768.0           1024.0  0.015815  15.801225
129        8.0      2.0     32768.0    32768.0           4096.0  0.017094  13.931497
106        8.0      4.0     32768.0    32768.0             16.0  0.002155  28.231804
112        8.0      4.0     32768.0    32768.0             64.0  0.005619  29.980401
118        8.0      4.0     32768.0    32768.0            256.0  0.003069  30.283748
124        8.0      4.0     32768.0    32768.0           1024.0  0.009846  31.397901
130        8.0      4.0     32768.0    32768.0           4096.0  0.006301  27.080613
107        8.0      8.0     32768.0    32768.0             16.0  0.000000  15.967909
113        8.0      8.0     32768.0    32768.0             64.0  0.000000  21.396447
119        8.0      8.0     32768.0    32768.0            256.0  0.000000  25.343335
125        8.0      8.0     32768.0    32768.0           1024.0  0.315191  11.401608
131        8.0      8.0     32768.0    32768.0           4096.0  0.000000  20.826135
132        4.0      2.0   1048576.0     1024.0             16.0  0.023469   7.393120
137        4.0      2.0   1048576.0     1024.0             64.0  0.029591   7.887037
143        4.0      2.0   1048576.0     1024.0            256.0  0.017731   7.980344
